Phase,Task ID,Task Name,Description,Duration (Days),Dependencies,Owner Role,Priority,Status,Deliverable,Notes
4 - Frontend Development,4.7,Add Loading States,Smooth loading animations,1,4.3,Developer,Medium,Not Started,Loading components,Skeleton loaders and spinners
4 - Frontend Development,4.8,Mobile Responsiveness,Ensure works on tablets/phones,2,4.4,Developer,High,Not Started,Responsive CSS,Test on iPad for law firm demos
4 - Frontend Development,4.9,Add Example Questions,Pre-populated sample queries,1,4.3,Developer,Medium,Not Started,Example prompts,3-5 compelling demo questions
5 - Integration & Testing,5.1,Connect Frontend to Backend,Wire up API calls,2,3.7 + 4.3,Developer,Critical,Not Started,Working integration,Handle streaming responses
5 - Integration & Testing,5.2,End-to-End Testing,Test full user flows,3,5.1,Developer,Critical,Not Started,Test report,Cover 10 key scenarios
5 - Integration & Testing,5.3,Accuracy Testing,Verify legal accuracy of responses,3,5.1,Tech Lead,Critical,Not Started,Accuracy report,Get legal review if possible
5 - Integration & Testing,5.4,Performance Testing,Ensure <5 second responses,1,5.1,Developer,High,Not Started,Performance metrics,Optimise if needed
5 - Integration & Testing,5.5,Security Review,Check for basic vulnerabilities,1,5.1,Developer,High,Not Started,Security checklist,No sensitive data exposure
6 - Deployment,6.1,Set Up Production Environment,Configure Vercel/hosting,1,5.2,Developer,Critical,Not Started,Production URL,vercel.app or custom domain
6 - Deployment,6.2,Configure Domain,Set up nzlegal.ai or similar,1,6.1,Project Lead,Medium,Not Started,Custom domain,.co.nz domain preferred
6 - Deployment,6.3,Set Up Analytics,Add basic usage tracking,1,6.1,Developer,Medium,Not Started,Analytics dashboard,Privacy-respecting analytics
6 - Deployment,6.4,Create Demo Account,Set up credentials for pitches,1,6.1,Project Lead,High,Not Started,Demo login,Password protect if needed
6 - Deployment,6.5,Final QA on Production,Test live environment,1,6.1,Developer,Critical,Not Started,QA sign-off,Full regression test
7 - Pitch Preparation,7.1,Create Pitch Deck,Design compelling presentation,5,6.5,Project Lead,Critical,Not Started,PowerPoint/PDF deck,10-15 slides max
7 - Pitch Preparation,7.2,Prepare Demo Script,Write walkthrough for live demo,2,6.5,Project Lead,Critical,Not Started,Demo script,3-5 minute live demo
7 - Pitch Preparation,7.3,Calculate Funding Ask,Define investment needed and ROI,2,7.1,Project Lead,Critical,Not Started,Funding proposal,$50-100k for full build
7 - Pitch Preparation,7.4,Identify Target Firms,Research NZ law firms for outreach,3,7.1,Project Lead,High,Not Started,Target list,"Top 20 firms: Bell Gully, Chapman Tripp, Russell McVeagh, etc."
7 - Pitch Preparation,7.5,Draft Outreach Emails,Write personalised pitch emails,2,7.4,Project Lead,High,Not Started,Email templates,Customise per firm
7 - Pitch Preparation,7.6,Schedule Meetings,Book demo presentations,5,7.5,Project Lead,Critical,Not Started,Meeting calendar,Target 5-10 meetings
7 - Pitch Preparation,7.7,Rehearse Pitch,Practice presentation and Q&A,2,7.2,Project Lead,High,Not Started,Rehearsal notes,Anticipate objections
8 - Post-Pitch,8.1,Gather Feedback,Document feedback from each meeting,Ongoing,7.6,Project Lead,High,Not Started,Feedback log,Track common questions/concerns
8 - Post-Pitch,8.2,Iterate Prototype,Make improvements based on feedback,Ongoing,8.1,Developer,Medium,Not Started,Updated prototype,Quick wins first
8 - Post-Pitch,8.3,Negotiate Terms,Discuss funding arrangements,Ongoing,8.1,Project Lead,Critical,Not Started,Term sheet,Equity vs sponsorship vs grant
8 - Post-Pitch,8.4,Sign Agreement,Formalise funding commitment,Ongoing,8.3,Project Lead,Critical,Not Started,Signed agreement,Legal review recommended
